,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2017-01-04,213.769315275,215.829952789,212.406655517,212.705765576,7496800.0,205.617957961,202.187951617,5.97969737864,14.0190540675,5.50745112469,199.638260582,211.597655339,69.7047916371,26743.4479923,2.65415100472,89.8036246778
2017-01-03,212.340170367,213.337258181,210.711616537,211.974571834,5638500.0,205.117277458,201.924330898,5.95109443262,15.0005708492,4.99799593632,199.166183026,211.068371891,69.5562342634,-18229.9983172,2.54345145474,90.8513749309
2016-12-30,213.104606684,213.304015605,211.542514739,211.941355847,5318600.0,204.581542785,201.672429529,5.9860124401,17.9975276059,4.5004806074,198.595530345,210.567555225,70.9172966264,63.4131977531,2.49235824106,91.3292559884
2016-12-29,210.778078422,213.204311145,210.279559442,212.705765576,3590600.0,203.938773942,201.415046983,6.13097534865,18.6301901154,3.97635969647,197.807798593,210.069749291,78.9057337034,-6010.92144257,2.65120372196,91.7692668404
2016-12-28,211.775166236,212.373412942,211.176916206,211.575757315,5197600.0,203.273410009,201.132054019,6.15517208295,17.994237249,3.34628164963,197.118237926,209.428582092,76.704514644,-20011.3544476,2.66579138856,91.5183504812
2016-12-27,212.539602553,213.204311145,211.908113272,212.606064439,3306300.0,202.630758679,200.870290826,6.1954750824,21.8241594832,2.67360769876,196.435283597,208.826233761,85.1865962234,7196.864647,2.84131859614,92.255517709
2016-12-23,212.340170367,212.539602553,211.575757315,212.273708481,3223600.0,201.851324412,200.576142909,6.26644125544,23.5338887442,2.04134291251,195.584883156,208.117765667,86.7006385489,33432.41143,3.00046372298,90.4236301537
2016-12-22,210.213070968,212.340170367,210.146612406,212.140761445,4858800.0,201.010828385,200.282952646,6.39371522256,21.5235504842,1.40663484239,194.617113163,207.404543608,80.8983363664,26292.6621212,3.11982819875,87.6165110781
2016-12-21,211.442810279,212.838712612,210.678373961,210.778078422,4643400.0,200.242130154,199.985746013,6.29919396789,20.2926047092,1.03684189854,193.942936186,206.541324121,82.6114000433,15820.9521183,3.22899136088,85.6161242582
2016-12-20,210.379263903,211.010726595,207.653917798,211.010726595,6976500.0,199.517394271,199.715244706,6.20882038545,12.8839341204,0.894950631106,193.308573886,205.726214657,73.323162596,100604.428804,3.43463246001,82.3354873894
2016-12-19,209.094728262,210.708621215,208.567727483,210.379257255,6987600.0,199.057253767,199.432132353,5.78869853962,6.32386983685,0.667909285147,193.268555227,204.845952306,63.3264327228,200892.227721,3.55245913958,79.99724388
2016-12-16,205.405806033,208.666535264,203.989526839,208.007810637,9694200.0,198.831401273,199.157751294,5.44368185031,5.82981444191,0.357188402762,193.387719422,204.275083123,61.8689384579,154568.133073,3.52422702111,79.8378336719
2016-12-15,203.561356482,205.833974074,203.100245618,205.438749836,6465200.0,198.623193614,198.935931531,5.18505167338,6.19211929423,0.171295942392,193.438141941,203.808245287,60.0225043639,-42601.4493866,3.37601246164,78.276122256
2016-12-14,207.414950872,208.501866112,204.022471426,204.384775408,6359200.0,198.402046496,198.772943515,5.01278380835,2.86550533741,0.0559585566532,193.389262688,203.414830305,60.6430246866,-53680.1409856,3.31014116369,77.3316916852
