,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2017-01-04,299.927144844,301.966350149,297.667478803,301.249884451,3774400.0,306.150272302,297.863542856,4.81346131995,1.96636138809,13.316385246,301.336810983,310.963733622,27.96143799,-101131.442152,3.32848453403,70.0653578025
2017-01-03,307.808421837,308.194215722,299.816914476,301.635681092,5116000.0,306.08004511,297.778666872,4.90115035139,2.87170760982,13.4574186276,301.178894759,310.981195461,36.8486613581,-130056.23758,3.25368761976,75.2836928229
2016-12-30,310.371213809,311.390827484,306.651034669,307.422625196,3552800.0,305.977484124,297.68199385,5.02605222475,7.29143802007,13.5566302449,300.951431899,311.003536349,53.5714235803,-31852.5021646,2.85017523638,80.6887759217
2016-12-29,310.288545856,311.941957276,310.288545856,310.371213809,1943300.0,305.717075623,297.437852601,5.13609027312,11.7439694119,13.4957204875,300.58098535,310.853165896,68.9320711974,-4825.67496712,2.72026333523,86.6124148138
2016-12-28,310.757007694,311.914392106,309.875189556,310.068085121,1947100.0,305.297648144,297.113688095,5.2207683201,12.0970973445,13.281231303,300.076879824,310.518416464,70.9091123967,-7914.63219993,2.91119350236,87.4393520817
2016-12-27,311.77662137,312.741110216,310.867238062,311.142804335,1919300.0,304.865608953,296.788996342,5.3111338437,15.6054548383,13.0439112243,299.55447511,310.176742797,77.7616440475,-12242.2580088,3.09228152476,87.5101786514
2016-12-23,311.96951969,313.237134469,311.142804335,311.3356999,2164100.0,304.308271281,296.429229456,5.44513234133,17.0561824816,12.3870173964,298.863138939,309.753403622,78.1021833875,3023.2322321,3.16511107301,85.3435783208
2016-12-22,311.280597117,313.705596308,311.197907118,312.934005781,2946100.0,303.699121906,296.055610521,5.58217061171,28.6077991996,11.7531742442,298.116951295,309.281292518,87.4317195945,10414.3425181,3.42886921369,84.0208777394
2016-12-21,311.36326507,313.044236149,311.225469533,311.445930267,2762800.0,302.677414792,295.632566844,6.38903850633,26.3267379801,11.1013279835,296.288376286,309.066453298,83.5948525542,4673.17513237,3.40524842068,81.6747141167
2016-12-20,311.445930267,313.43003279,310.150753074,311.859289323,2766000.0,301.73717415,295.236217351,6.9622947388,25.4549147308,10.385765693,294.774879411,308.699468889,76.5013554186,513.886331099,3.5509043678,80.2061598847
2016-12-19,311.583723049,312.768672631,310.31608898,310.9223436,3537700.0,300.828070052,294.819573152,7.24768713103,26.8969261257,9.51328900827,293.580382921,308.075757183,63.230238188,75040.1914823,3.5942080724,79.3871893971
2016-12-16,310.646777327,313.264674838,309.682291236,311.611266174,10564800.0,299.867465548,294.4159699,7.63248326905,31.1132617911,8.50361152535,292.234982279,307.499948817,63.5944679224,64156.1104099,3.78513725535,80.1991972355
2016-12-15,310.867238062,311.941957276,307.560398688,309.186266983,4391100.0,298.756277627,293.98498335,8.10935928194,33.5555391598,7.55809076846,290.646918345,306.865636909,64.6968699287,-11869.5157154,3.81414094765,80.8628648238
2016-12-14,310.591674544,312.052187643,309.26893218,310.508984545,4807400.0,297.557865514,293.603975155,8.94708544759,33.0188464298,6.74230043957,288.610780066,306.504950961,70.1792436864,41605.5601916,3.7101607923,81.9119285115
2016-12-13,307.587961102,310.72944528,307.532855563,310.068085121,4127200.0,296.378620999,293.180264416,9.34404946594,30.745884184,5.88495864893,287.034571533,305.722670464,71.1006239562,52794.5277468,3.72034501109,82.1689422303
2016-12-12,307.009268896,308.883138295,306.155010417,307.477730734,4172000.0,295.280553706,292.756984498,9.48129351026,28.5383475372,5.03884546953,285.799260196,304.761847216,68.5523242975,37284.7032929,3.76347628782,81.8996634404
2016-12-09,304.253578603,306.182553541,303.261527342,306.155010417,2622400.0,294.261327008,292.388020594,9.65389712015,26.3406128807,4.23489098354,284.607429888,303.915224129,62.8009750947,34977.9242267,3.86939712742,81.9633961457
2016-12-08,302.820627918,305.851884484,301.30498999,303.922887501,3255100.0,293.320590834,292.042961843,9.73503257266,25.3936750254,3.48202347442,283.585558262,303.055623407,61.6129534414,40370.3886179,3.92052175015,81.8012747568
2016-12-07,301.056988886,303.041066607,298.466631744,302.462374402,4013900.0,292.413673869,291.745200868,9.89230794063,23.9878403327,2.77606629549,282.521365928,302.30598181,60.2093997494,23436.4001342,3.8340295105,83.1326015557
2016-12-06,300.726297784,301.718349045,298.824863215,300.616067417,3317300.0,291.556965286,291.476583359,10.027613855,22.059504715,2.14881894921,281.529351431,301.584579141,61.2442303701,49101.6009299,3.75728858486,84.8393724467
2016-12-05,301.167197208,303.619758813,300.009812797,300.726297784,5179300.0,290.769125832,291.247509393,10.1552683967,20.5017322823,1.65092933913,280.613857435,300.924394228,63.5828847882,43219.277519,3.83577382348,87.8194057923
2016-12-02,297.171454551,298.549299697,296.37230161,297.83281471,3342600.0,290.036921107,291.009931032,10.1498528937,15.2839897872,1.13004101343,279.887068213,300.186774001,71.9326557863,-39587.3927446,4.30720265495,89.4502631052
2016-12-01,299.816914476,299.816914476,296.81322308,298.466631744,4431100.0,289.491064329,290.838920829,10.126020076,14.9334136238,0.365387508783,279.365044253,299.617084405,71.5627259291,-102415.669065,4.30600277248,90.290679596
2016-11-30,303.289089756,304.033117868,300.671172956,300.671172956,5481000.0,288.957728128,290.647738266,10.0285707053,26.3256274369,-0.417689193933,278.929157423,298.986298834,73.7535303068,-81434.7576802,4.2765337063,91.1739524534
2016-11-29,303.729989181,304.859833223,299.982250382,304.556704535,6370900.0,288.017527148,290.396508774,10.1233319261,28.3243984986,-1.42221078031,277.894195222,298.140859074,85.9890828614,50806.0007473,4.70603934268,91.9659544131
2016-11-28,301.170260155,305.244572126,300.760112579,305.107842594,5931700.0,287.005941488,290.041594626,9.8200558635,28.9028867833,-2.43327327318,277.185885624,296.825997351,89.0624892016,70401.0012246,4.61922776163,91.4763538925
2016-11-25,300.349946189,302.838263418,299.912427005,301.935919061,1709100.0,285.973695531,289.663970994,9.35484030644,22.5590176716,-3.27089617079,276.618855225,295.328535838,89.6210796151,19846.2880675,4.73641708278,88.6341223645
2016-11-23,299.39290096,302.209357589,299.39290096,300.514004915,2860200.0,285.168016329,289.356384286,8.88903149509,16.5432878929,-3.88395033421,276.278984833,294.057047824,84.2276309124,18192.2215791,4.75594831074,82.9639189317
2016-11-22,298.763976544,300.924176279,297.068623859,299.283523063,3699100.0,284.577184618,289.076727318,8.36562996166,11.7033422699,-4.54247540831,276.211554656,292.94281458,79.1533571014,-9981.70289519,4.80673084896,78.6479943693
2016-11-21,299.584309651,301.498400039,297.287380406,298.763973482,3603300.0,284.159208108,288.820902026,7.88202718593,13.0979034336,-5.18613818734,276.277180923,292.041235294,79.069763495,1994.85378507,4.71688403705,75.1817502786
2016-11-18,298.107716991,300.78744408,297.150673163,300.131187176,3655400.0,283.691425843,288.571686775,7.35415230015,17.2815731463,-5.71864533002,276.337273543,291.045578143,80.2278296171,24656.6580371,4.57625619132,71.31254274
2016-11-17,297.095970994,298.763973929,295.427970789,298.627244397,2836600.0,283.074226802,288.281957007,6.61096938467,12.9611743484,-6.40602857462,276.463257417,289.685196187,80.098280078,50476.3552206,4.50008444249,67.3093463638
2016-11-16,297.013943948,299.037411401,295.94751759,297.970987777,5371100.0,282.611327718,288.022660531,5.89681118128,15.7503021872,-6.9836868148,276.714516537,288.508138899,79.7331081428,63240.5320056,4.42195757883,62.6255984578
2016-11-15,293.513879318,295.974865947,291.982586777,295.537349497,4447900.0,282.048816926,287.773313548,5.0707149255,12.0314788472,-7.57606194147,276.978102,287.119531851,77.8975821779,267320.795803,4.31062745165,58.1109192413
2016-11-14,286.43170498,296.713154326,285.693418012,294.279517419,7093200.0,281.619121253,287.578714105,4.34289827416,12.1681913983,-8.09861620442,277.276222979,285.962019527,72.7836913173,236263.12167,4.28328200465,53.7060137908
2016-11-11,285.556690338,286.349676782,284.18947705,284.326206582,4331200.0,281.184542988,287.410763751,3.56894667152,1.96879190693,-8.46850813394,277.615596317,284.75348966,53.8280436338,-31959.409397,3.57428494808,50.5213586972
2016-11-10,286.541085903,286.568435636,283.123052687,285.119192287,4437700.0,281.114228992,287.488075746,3.52386789555,-0.35546751363,-8.53983127752,277.590361096,284.638096887,53.3878662977,22799.4072771,3.78327326333,49.523704011
2016-11-09,278.501862679,287.607508607,277.708898118,286.404374592,5099500.0,281.12692426,287.547449943,3.539436692,-1.03907436026,-8.67198735598,277.587487568,284.666360952,69.2576620074,84214.485692,4.30476703415,48.5500666417
2016-11-08,281.017550993,284.40823446,280.99020126,284.025417475,3300200.0,281.164034059,287.576100226,3.60171753757,-1.85941029214,-8.80107497329,277.562316521,284.765751596,62.6441860629,109353.524177,3.78718032098,42.4087917248
2016-11-07,278.255774604,281.755837866,277.927635213,280.498004383,3842400.0,281.230441569,287.665095291,3.67286782857,-6.45324797078,-8.71149296264,277.557573741,284.903309398,57.8578583022,44684.3358416,3.63483252011,36.1504194572
2016-11-04,278.228424851,278.255774584,275.056500979,275.630727823,3457400.0,281.460914711,287.844732776,3.82454441628,-15.9690406155,-8.57361637732,277.636370295,285.285459127,42.689417813,-48686.3416216,3.56061139394,31.9153961271
2016-11-03,280.279245005,280.580031927,276.943241866,277.490138115,3890700.0,282.03123759,288.150867185,4.10343373077,-13.1525873518,-8.24361774947,277.927803859,286.134671321,38.5728207724,-20698.369444,3.78131985388,31.1990761886
2016-11-02,278.529214493,280.361277571,277.763580518,279.322200937,3512500.0,282.500972853,288.418069958,4.31186327037,-13.0705559631,-7.90777445559,278.189109582,286.812836123,36.2976246206,-7486.53775263,3.78327351843,31.3329994383
2016-11-01,280.033159297,280.361276813,278.11904702,278.939383197,3935600.0,282.967778423,288.646050748,4.64929243405,-13.972920528,-7.58551114225,278.318485989,287.617070857,39.3782494346,6987.5626792,3.92390136435,32.7338740925
2016-10-31,279.513607881,280.251913989,277.681547556,279.814397536,4181600.0,283.466811299,288.889340721,4.94159410624,-11.9221027438,-7.39315731553,278.525217192,288.408405405,45.4841316737,19943.5492216,4.09382683532,33.4215412676
2016-10-28,278.966731663,279.212819116,276.970592067,278.529212476,3304700.0,283.892600682,289.11679702,5.1254406754,-11.8947525176,-7.38663331062,278.767160007,289.018041358,39.8443554743,-222.982418888,4.23640823773,32.1114170487
2016-10-27,278.720621522,279.595638021,277.654197897,278.474534069,2960700.0,284.317413272,289.382166483,5.15728030264,-8.55874691745,-7.32738195826,279.16013297,289.474693575,45.138416432,-23271.2566185,4.37703638914,32.7474506378
2016-10-26,278.994060011,280.169863426,276.615122589,278.556562702,3763100.0,284.623082805,289.655557694,5.05068435085,-8.66812853224,-7.24912629399,279.572398454,289.673767156,43.7715183963,-62534.2719605,4.45711524306,31.7882588473
2016-10-25,282.35741549,282.466795289,280.08783597,280.224565502,4879000.0,284.932658824,289.933745257,4.9292640524,-9.35173537887,-7.28401223082,280.003394772,289.861922877,47.6091411334,-61568.5235503,4.55477315241,31.3943532503
2016-10-24,284.408234986,285.091841629,280.005805483,282.548824922,6173500.0,285.266649373,290.177098197,4.91524562604,-4.40242743091,-7.36231054706,280.351403747,290.181894999,50.2560355233,317077.386598,4.66219766809,28.2857206288
2016-10-21,281.728488387,285.091841259,280.306594777,283.53321812,10108000.0,285.423878924,290.368294855,4.89546045957,-2.18754962514,-7.38708940798,280.528418465,290.319339384,47.5432550325,288986.290448,4.70712097553,24.1340740872
2016-10-20,276.341685116,276.341685116,273.689288612,274.345545519,7250700.0,285.502005697,290.539610667,4.88160580936,-14.7112057814,-7.55198275031,280.620399887,290.383611506,29.7205867081,-48887.7000503,4.12507796489,19.8450455904
2016-10-19,277.462789791,277.626849917,275.849489052,276.232306037,6433400.0,286.027405903,290.945502149,4.40476330784,-9.0782937425,-7.37561985756,281.622642595,290.432169211,34.9016362351,-69737.3754271,4.13484299122,21.3701752348
