,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2017-01-04,68.3548748069,71.1835201207,68.2501099717,70.8168484356,6504700.0,63.5965500907,51.8748607303,5.55913630197,17.7111239898,15.437269417,58.0374137887,69.1556863926,63.9303184946,506188.879536,2.8511001596,56.1741190199
2017-01-03,67.9358207041,69.2453811449,64.8976404816,67.2548387984,4901400.0,62.9640099482,51.4000947354,5.71265528543,13.8359513072,15.1912927587,57.2513546627,68.6766652336,51.4986087209,201443.163253,2.91470738101,54.5545688513
2016-12-30,64.373811067,66.5738726075,64.1642761583,65.1071649138,3490300.0,62.46986883,51.0027080696,5.92230829348,14.8198764487,15.0302296873,56.5475605366,68.3921771235,47.6470629758,50203.9652853,3.00076458413,54.7009406249
2016-12-29,63.6928343996,64.6357179169,63.3261574762,64.373811067,2556000.0,61.9405875283,50.6491909736,6.32633212245,14.1387164428,14.8920641347,55.6142554059,68.2669196508,44.3152086494,-74238.9950924,3.05233541339,57.0443489715
2016-12-28,66.5738726075,67.2024563808,63.5880800408,64.1118937406,3323500.0,61.4356333696,50.3051941864,6.67933655224,14.0333806392,14.7805289301,54.7562968174,68.1149699219,44.3122072574,-41082.5428687,3.13774462184,59.9542525706
2016-12-27,65.7357539254,66.7310146221,65.2119297491,65.7881415813,2445300.0,60.9344412039,49.9591401422,6.99034753491,15.9705924463,14.5333823396,53.944093669,67.9247887389,43.042885149,21068.2642368,3.15545380352,62.9505209671
2016-12-23,64.8976404816,65.8405239989,63.5356923849,64.6357179169,2161000.0,60.3640629023,49.5623986949,7.22719013662,18.6804763428,14.2032225382,53.1368727657,67.5912530389,34.643759305,-91458.2431688,3.20710717898,65.5416345495
2016-12-22,66.678642681,67.0453143662,65.1595473315,65.3166998226,3252200.0,59.6969030329,49.1845978269,7.66709109371,20.4575184315,13.9373903245,52.0298119392,67.3639941266,43.0487060171,-9299.93109839,3.27734679166,69.4572658283
2016-12-21,66.5214901899,67.6215157219,65.6833715078,66.7310146221,5783600.0,58.9662773746,48.7802594031,8.07558000979,21.4542825036,13.6055286184,50.8906973649,67.0418573844,53.4115463735,636411.596459,3.47072174973,72.8053434893
2016-12-20,64.3214286494,66.1024308488,63.5880800408,66.0500484312,9524300.0,58.2000529995,48.3303378693,8.32550411763,21.5562186883,13.1830090112,49.8745488819,66.5255571171,55.9904797634,655835.967959,3.59324899919,75.2307019582
2016-12-19,61.5975429326,63.0118682086,59.8165407332,62.2785143618,7753200.0,57.4301880464,47.8862072878,8.56591276046,19.9767997466,12.764443811,48.8642752859,65.9961008068,70.4572040831,-22578.2912705,4.56156715498,77.9080932757
2016-12-16,63.1166330439,63.1690206998,60.968953921,61.6499253502,6746700.0,56.7167309125,47.5254754526,8.96956398532,20.5486638382,12.3798426137,47.7471669272,65.6862948979,66.5857357876,-61762.2122567,4.57938341325,77.7001347579
2016-12-15,61.4403956797,63.6928343996,60.6022769976,62.5928088676,4724100.0,55.9828500612,47.1714572465,9.38213296973,22.8485662666,11.9900341967,46.6007170915,65.3649830309,61.2003442716,-235823.907383,4.78758895159,77.8369745939
2016-12-14,63.9023693083,64.7928704081,61.1784835916,62.0689846913,6215200.0,55.1668298374,46.7849332207,9.77149148806,23.107644466,11.5439769576,45.3953383493,64.9383213254,58.7023105264,-436674.057217,4.73832735459,79.6073719515
2016-12-13,68.3024923893,68.3024923893,63.4833099673,64.9500228992,6209600.0,54.3415568207,46.4018505149,10.1359705556,26.6150035268,11.1988370652,44.2055862651,64.4775273764,65.10517812,-100472.68839,4.6926173098,82.1519390855
2016-12-12,69.2453811449,71.497825103,66.3119552811,66.678642681,5441100.0,53.3910209805,45.9369551907,10.3499766499,25.8383398971,10.8295549896,43.0410443306,63.7409976304,67.5437075405,21230.2829401,4.50869801205,83.3997400024
2016-12-09,67.6676627696,68.1895854139,65.057997355,65.9452835959,6242700.0,52.468223127,45.4170811389,10.2729607724,24.6352467201,10.435172016,42.1952623547,62.7411838994,69.4805118632,-19558.4807206,4.42151970205,84.2837370227
2016-12-08,66.6759889689,67.1979272969,64.6926379379,66.3628343233,4994900.0,51.588392887,44.9025579212,10.1299147163,24.7918282429,10.0790880397,41.4584781707,61.7183076034,70.2490168311,-209362.135771,4.29476527388,85.1117046437
2016-12-07,66.5715996637,68.7115253422,64.8492204586,66.1018598805,7136900.0,50.7029704498,44.3646730046,9.87087433933,24.0611144699,9.77565619227,40.8320961104,60.5738447891,70.1708229537,-482709.35099,4.26121168263,85.7970611488
2016-12-06,69.1290732069,70.5904858883,67.7720419267,68.2939802464,8155200.0,49.843644933,43.8198475452,9.52181577634,25.0527869711,9.56962654028,40.3218291566,59.3654607093,74.4475082979,1035.24146353,4.13818459476,87.1541765267
2016-12-05,69.3900463046,71.4777735179,68.5027600207,70.4861006124,7561600.0,48.9489025412,43.2064226955,8.87926433284,24.6352414819,9.33936419988,40.0696382083,57.828166874,81.0846536087,641897.659699,4.25375531012,87.7556623478
2016-12-02,65.1101820709,69.7031985186,65.1101820709,68.1895873263,8488500.0,48.0690724882,42.5226790659,7.82396175551,20.9295102055,9.06385805951,40.2451107327,55.8930342438,80.4911263555,784674.567287,4.15309623259,87.5152276067
2016-12-01,65.3711549916,66.8847557654,63.3878039878,65.2145750612,12670800.0,47.3215899809,41.8793582367,6.7576105444,17.9023040995,8.84291286332,40.5639794365,54.0792005253,77.9239650029,6134835.20946,4.02261288524,85.8553964717
2016-11-30,53.3666943565,65.3189624827,53.3666943565,63.2312300589,17985300.0,46.6822219773,41.294479416,5.77785721723,15.553607449,8.69398039577,40.9043647601,52.4600791946,77.1558150905,5478940.65152,3.9480514466,84.5108639725
2016-11-29,47.9385918146,48.564911558,46.216212521,47.9385918146,7452000.0,46.126735997,40.744652048,4.79134815045,-0.469739330101,8.58035641323,41.3353878466,50.9180841475,63.1707228114,-859548.484326,2.97501913162,82.8480677949
2016-11-28,54.4627520717,54.7759119277,49.6609676122,49.6609676122,7840700.0,46.1435124017,40.5643416168,4.79874380184,1.8789573204,8.72077173249,41.3447685998,50.9422562035,70.4999844439,-690351.130406,2.92282607089,82.8992046419
2016-11-25,54.2539789243,54.4105588526,52.6881796422,53.7842391395,3768400.0,46.0764067831,40.3363418547,4.76072096792,8.40311933912,8.86058151099,41.3156858152,50.837127751,88.7607607399,82662.3470215,2.7364208808,80.7280658801
2016-11-23,52.2706358738,55.4022345543,52.2706358738,55.0890746862,4603300.0,45.7762953781,39.9992809067,4.51537047425,8.71628762293,8.93955976251,41.2609249039,50.2916658524,95.8456589763,139496.012219,2.85571969062,75.9454298317
2016-11-22,53.6798508364,54.2539772266,52.009664973,53.1057244457,5530900.0,45.4649993916,39.6210671168,4.13389782241,5.48029567667,8.94433622416,41.3311015692,49.598897214,95.4983501545,350823.317094,2.77370162695,69.4970123736
2016-11-21,52.2706346606,54.6193336322,52.2706346606,53.4188874913,6154200.0,45.269274546,39.2830848073,3.88072228998,6.99390134882,9.00198150329,41.388552256,49.149996836,84.1359422209,387234.915904,2.80725479802,63.0789401685
2016-11-18,50.9136081871,51.3833479786,50.0263219142,50.2872884651,3837600.0,45.019492355,38.9287820525,3.54752221519,3.07940518524,9.04219071269,41.4719701398,48.5670145702,78.476813159,16849.937686,2.7737019411,57.4581324298
2016-11-17,51.1223808908,51.8530872275,49.817548146,50.2350946242,4113800.0,44.9095135983,38.6440900401,3.42373731386,3.54914451534,9.09746219526,41.4857762845,48.3332509122,77.124162213,39002.2912069,2.83707952626,51.5174905044
2016-11-16,49.5565800152,50.3394796445,48.1995539911,50.0785131014,4990000.0,44.7827584371,38.3535706444,3.28203541901,5.11493879018,9.16899376229,41.5007230181,48.0647938561,74.6794680028,752389.106796,2.82216715387,45.6144074526
2016-11-15,47.416656851,50.3916755508,47.416656851,49.817549135,8641200.0,44.6000820517,38.0596942013,3.11442714345,4.27985305007,9.18093957263,41.4856549083,47.7145091952,69.0908913962,851235.889516,2.94146615294,39.4724952504
2016-11-14,44.9113754039,46.5293679674,44.6504088613,45.9552415741,5115400.0,44.4472301571,37.764992833,2.94953666997,1.51360567216,9.14797298911,41.4976934871,47.396766827,50.3267840949,56298.560381,2.91536931898,33.2114792132
2016-11-11,44.3372483118,45.2245345469,42.5104825337,44.8591813911,7448100.0,44.3931728116,37.5597107025,2.93470806599,3.34036915163,9.23809106017,41.4584647457,47.3278808776,42.6281983236,46513.3352741,2.95637835808,28.6302772098
2016-11-10,43.8675127134,45.9030518541,43.2933862886,45.2767321185,6547100.0,44.2738739134,37.3767552219,2.98256719537,1.8789573204,9.34666467922,41.291306718,47.2564411087,43.6065600742,450975.004537,2.91909712765,27.697674425
